epoch,train_loss,train_acc,val_loss,val_acc
1,0.644788,0.725,0.698959,0.69
2,0.54542,0.7819,0.601979,0.7475
3,0.349966,0.8594,0.491677,0.8125
4,0.270895,0.895,0.411647,0.8425
5,0.205068,0.9212,0.333585,0.8825
6,0.2026,0.9131,0.378562,0.8675
7,0.202171,0.9194,0.374764,0.87
8,0.156679,0.9369,0.296338,0.8825
9,0.123909,0.9562,0.325582,0.9075
10,0.200315,0.92,0.460716,0.855
11,0.124443,0.9531,0.35688,0.905
12,0.115286,0.9519,0.376127,0.88
13,0.153839,0.9425,0.418935,0.8675
14,0.091347,0.9619,0.381306,0.8825
15,0.073628,0.9719,0.317978,0.9
16,0.123339,0.9531,0.43375,0.88
17,0.111287,0.95,0.389563,0.875
18,0.055186,0.9775,0.321378,0.905
19,0.065879,0.9725,0.317081,0.905
20,0.095832,0.9725,0.391966,0.9025
