epoch,train_loss,train_acc,val_loss,val_acc
1,1.228808,0.4067,1.26836,0.37
2,0.815292,0.6433,0.887925,0.58
3,0.552142,0.8233,0.714006,0.72
4,0.38064,0.86,0.55389,0.77
5,0.42583,0.8467,0.688639,0.75
6,0.249222,0.9367,0.348509,0.88
7,0.260191,0.9167,0.456452,0.9
8,0.224816,0.9267,0.374619,0.85
9,0.28031,0.9033,0.51126,0.81
10,0.171517,0.9433,0.344168,0.89
11,0.158168,0.9433,0.347757,0.91
12,0.200901,0.9333,0.35134,0.88
13,0.120425,0.96,0.293115,0.93
14,0.177147,0.9533,0.374557,0.88
15,0.155274,0.9367,0.357449,0.85
16,0.206847,0.9233,0.42854,0.88
17,0.201903,0.92,0.345878,0.91
18,0.137848,0.9467,0.376054,0.91
19,0.304372,0.8967,0.585278,0.87
20,0.094385,0.98,0.311994,0.88
21,0.200131,0.92,0.561194,0.81
22,0.110089,0.9567,0.408781,0.88
23,0.079434,0.9733,0.329958,0.89
24,0.119161,0.9633,0.470458,0.88
25,0.135651,0.9467,0.309488,0.91
26,0.093782,0.9667,0.313022,0.9
27,0.057274,0.98,0.311906,0.94
28,0.056903,0.9833,0.342549,0.91
29,0.07416,0.9767,0.434307,0.88
30,0.046469,0.9867,0.315743,0.91
31,0.043174,0.9867,0.291084,0.92
32,0.102508,0.9567,0.490734,0.86
33,0.040862,0.99,0.332891,0.92
34,0.137502,0.94,0.40275,0.86
35,0.040666,0.99,0.37185,0.91
36,0.033115,0.99,0.35727,0.92
37,0.039274,0.99,0.344937,0.92
38,0.030214,0.99,0.284495,0.94
39,0.029337,0.9933,0.347568,0.91
40,0.031661,0.9933,0.348085,0.93
41,0.031827,0.9867,0.3266,0.93
42,0.034461,0.9867,0.395354,0.91
43,0.041011,0.99,0.415405,0.9
44,0.084651,0.9667,0.491136,0.88
45,0.055439,0.9833,0.483739,0.9
46,0.044982,0.9833,0.382744,0.91
47,0.02731,0.9933,0.363887,0.92
48,0.032734,0.99,0.350191,0.92
49,0.109409,0.9533,0.653362,0.84
50,0.409139,0.8567,0.605304,0.8
