epoch,train_loss,train_acc,val_loss,val_acc
1,0.854761,0.6,0.87745,0.62
2,0.488017,0.8133,0.644682,0.76
3,0.24213,0.9167,0.318851,0.88
4,0.203369,0.9167,0.340042,0.88
5,0.183185,0.94,0.358914,0.85
6,0.099174,0.96,0.278589,0.89
7,0.190908,0.9233,0.423673,0.86
8,0.102358,0.97,0.263506,0.88
9,0.038697,0.9833,0.172245,0.94
10,0.015584,0.9967,0.126919,0.96
11,0.006722,1.0,0.089639,0.96
12,0.004349,1.0,0.081617,0.96
13,0.003832,1.0,0.061255,0.96
14,0.002756,1.0,0.067952,0.96
15,0.002151,1.0,0.067024,0.96
16,0.00164,1.0,0.054206,0.96
17,0.001399,1.0,0.052839,0.96
18,0.001216,1.0,0.053076,0.96
19,0.001142,1.0,0.048333,0.97
20,0.001008,1.0,0.04933,0.97
