epoch,train_loss,train_acc,val_loss,val_acc
1,1.438698,0.6762,1.464442,0.5925
2,1.063,0.7394,1.123359,0.65
3,0.705096,0.8212,0.801573,0.75
4,0.496704,0.8906,0.603476,0.83
5,0.382668,0.9112,0.5065,0.8375
6,0.303451,0.935,0.444831,0.8675
7,0.251292,0.9475,0.390442,0.88
8,0.209227,0.9587,0.349317,0.885
9,0.172369,0.9737,0.323916,0.905
10,0.14815,0.9719,0.309063,0.8975
11,0.125869,0.9825,0.288182,0.9075
12,0.110091,0.9881,0.278338,0.905
13,0.100224,0.9875,0.267537,0.9075
14,0.086278,0.9888,0.262259,0.9125
15,0.078203,0.9931,0.24849,0.915
16,0.068125,0.995,0.246701,0.9175
17,0.061963,0.9963,0.24679,0.9225
18,0.054928,0.9969,0.235216,0.92
19,0.052792,0.9969,0.236529,0.9225
20,0.045442,0.9988,0.22852,0.9225
